country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iraq,,11.1,13.1,14.2,14.2,15.9,18,20.1,23.4,24.7,24.8,,,26.2,,28.9,27.9,28.8,29.1,26.4,,,,25.7,,,,,,21.9,23.7,,,,38.8,,,44,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4,95.9,93.7,90.1,98,98.4,100,99.9,100,101,100,99.9,99.2,100,102,101,,,102,99.4,101,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,98.7,104,99.8,97.7,102,97.4,96,100,97.3,100,102,100,106,102,103,
Italy,,69.4,72.8,78.1,80.2,83.3,86,88.2,95.1,94.2,94.3,92.4,91.2,93.3,92.7,94,94.2,95.3,94.7,95.2,97.2,97.8,98.4,97.4,95.2,96.7,98.2,98.3,,103,,97.4,101,101,103,103,103,100,98,98,99.7,103,102,103,104,100,99.7,,
Jamaica,,,,,,,82,78.9,,,94.6,96.7,,90.5,89.9,89.5,88.2,,,,99.7,104,,102,,,,,,,98.2,94.9,94.5,94.3,102,,,,,98.8,99,95.7,,90.3,87.5,90.2,,87.3,
Japan,,,96.8,96.6,,,,,97.9,97.9,102,97.7,89.1,104,102,98,97.3,97.5,98.3,101,102,100,100,,102,,,,,,,,,,,,,,,,,,,100,102,102,103,,
Jordan,,,,,,,,,,,,,,,,,,,48.9,60.9,,,,,,,,,,,,,85.5,86.7,85.1,,81.2,84.7,85.8,,,81.1,77.8,70.5,69.4,,,61.4,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7,101,98.3,93.7,93.2,91.7,93.1,93.6,93.8,99.5,99.5,96.6,95.7,102,105,110,116,111,113
Kenya,,8.65,9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5,80.1,80.9,,
Kiribati,,,,,,,,,,16.2,15.9,19.8,13.8,16.1,16.6,,26.6,,,46.2,44.5,55.9,47.4,,,,,,,,,,,,,,,,,,,,,,110,,99.7,,
Kuwait,,,,43.3,44.2,43.3,55.1,56.5,53.9,53.2,56.7,69.1,77.6,81,92.3,88,,,72.2,,,,54.1,,66.5,79.5,97.5,98.2,,85.4,87.9,84.4,89.8,93,101,111,88.4,101,102,101,99.1,,95.2,91.5,,,94.5,94.6,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2,96.4,91.4,87.8,88.1,86.7,86.9,84.4,86,90.5,92.2,88.9,88.4,92.5,92.1,93,96.1,
Lao,,0.644,0.892,0.98,1.12,,,,,,,,,,,,,,,,,,16.5,17.4,18.7,,,21.9,,27.3,29.6,31,34.6,36.7,39.4,39.2,38,38.3,40,42.6,37.8,40,43.4,47,53.3,60.1,64.6,67.7,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,100,96.2,96.3,99.1,
Lebanon,,,,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,88.2,96.5,86.9,80.2,79.9,76,70.7,70.1,69.5,66,66.7,65.6,65.3,63.7,62,51.9,55.1,52.9,54.8,
Lesotho,,,6.74,12.8,,,,,,,,,,,,,22.2,23.2,,,,,,,,,,,31,32.7,31.4,33,32,33.6,34.9,35.1,35.8,35,36.7,44.8,48.3,,48.6,48,49.6,,49.7,50.9,
Liberia,,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,31.1,,,,,,,,30.4,33.6,,38,,,31.9,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.3,,,71.1,93.2,99.1,105,129,110,,,85.3,84.1,79.1,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,85.3,,83.9,,72.6,86,94.2,98,98,,,,,,,,102,103,105,99.8,99.3,101,,
Luxembourg,,26.3,24.6,22.7,18.8,43,44.5,54.3,56,56.6,60.5,,,,,28.5,,24.9,,,,,,,,,,,,,,,,,,,96.9,96.1,97.7,,103,103,110,98.5,97.6,99.4,101,,
Madagascar,,8.39,8.86,,8.61,9.12,,,,,,,,,,17.1,,,15.6,16.6,16,15.6,,,12.2,,13.2,,,,13.2,12.8,12.9,14.1,15.1,17.8,19.6,21.9,24.4,26.3,27.8,30.5,32.5,36.8,36.7,37.5,36.5,42.4,
Malawi,,,,,9.09,10.2,10.9,12.2,12,11.6,14,13.9,16.3,16.8,18.1,18.7,17.7,16.5,16.8,17.3,18,21.3,19.2,26.4,20.9,38.5,37.9,,,25.1,,,,,,13.9,18,15.4,16.2,17.5,16.9,17,17.2,19.4,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6,89.3,92.2,87.3,86.6,98.8,94.1,88.6,89.3,89.4,89,87.7,87.2,87.4,87.6,84.8,86.1,90.5,87,87.1,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,95.6,115,119,,,,109,109,102,102,104,104,
Mali,,,,,,,,,,,,3.51,2.98,,3.3,3.08,,2.77,2.76,,,,,,,,,,,,,11,11.6,,,,,,23.5,26.5,28.6,32,,26.3,29.2,27.2,25.3,26.8,
Malta,,24.9,33.5,38.2,36,62.7,56.7,55.7,53.2,56.2,57.6,35.7,49.2,56.1,59.4,57.9,64.6,53.8,56.3,57.8,56.5,66.3,76,76.4,76.4,79.6,103,88.6,95.4,97.9,92.6,94.2,87.4,98.5,94.8,101,102,100,98.9,92.2,101,101,103,99,105,95,96.1,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,109,,,,,109,120,125,,134,,,,,,,
Mauritania,,,,,,,,,1.49,1.98,3.05,3.42,,,,,,,,7.49,,7.12,8.47,7.63,7.84,10.1,,,,11.8,,15.6,14.4,14.5,14.2,16.8,19.3,15.5,,14.8,,,20.4,,27.9,31.1,28.3,35.3,
Mauritius,,,,35.3,36.1,34.5,39.2,44.5,51.9,62.9,,51.7,50.8,,,,,,,,,67.5,60.6,65.7,73,79.3,74.1,75.4,77.4,74.8,77.8,79.5,78.6,81.7,82.3,84.7,82.7,82.4,87.9,89.5,87.5,88.6,86.4,88.2,90.8,90,93.1,89.8,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,57.8,59.1,60.8,,65.8,,,70.3,,75.5,78.4,80.5,83.1,82.9,84.3,84.8,85.1,84.7,83.5,81.8,82.5,83.1,89.8,93.9,96.3,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,88.5,88.8,,,,,,83.6,87.5,88.1,89.4,90.8,86.1,87.5,87.3,87,86.5,85.5,82.6,83.8,85.1,81.8,82.2,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,75.5,126,66.3,,66,71.5,75.3,86.1,85.6,87.7,94,98.8,97.7,93.6,95.9,109,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,97.1,,,92.6,97.9,98.1,
Morocco,,,,,,7.17,8.2,9.09,10.7,13.2,14.4,15.2,,18.2,,19.5,22,22.8,23.1,26.8,28.5,29.4,27.1,25.4,29,29.1,,28.8,,29,30.6,32.7,35.7,37.5,39.4,,45.5,49.8,53.1,57.3,57.7,58.9,60.7,63.6,66.4,70.7,69,67.6,
Mozambique,,,,,,,,,,,,,,5.65,,6.76,6.81,,,,6.54,,6.93,6.74,6.63,7.21,,,,2.09,3.02,,4.49,,6.33,7.79,8.61,11.1,14.5,16.8,18.4,20.8,20.7,21.8,21.3,22.1,,22.7,
Myanmar,,11.4,10.5,11.9,10.9,,,,,,,,,,,,,,,,,,,,,,,,,30.4,33.8,32.8,33.4,37.1,37.8,39.5,42.6,42.1,,45.1,46.3,,,,51.5,,57.6,64.1,
Namibia,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,56.4,56,54.9,,,,,63.7,64.8,,63.3,64.8,62.2,,61.1,62.4,,,,73.5,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,31.1,33.6,,,,,,,,,,67.7,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,31.2,34.7,36.8,40.4,41.2,,,,,58.1,,67.6,69.1,76.6,82.3,86.2,88.7,90.8,93.6,
Netherlands,,53.6,49,53.7,57.6,57.9,59.6,59.9,61,62.1,62.3,63.5,64,64.3,68.5,70.2,70.3,70.3,68.6,66.6,67.8,67.8,69,,,,,,,59.6,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,29.1,35.6,,,,,29.9,32.1,37.1,,,,49.8,50.2,51.3,55.2,,60.8,65.8,68.5,70,68.2,,73.8,,,,,,,,
Niger,,0.289,0.359,0.608,0.746,0.72,0.827,1.06,1.09,1.48,,2.28,,,,,,,,2.36,2.9,2.72,2.81,,,,,4.54,,,3.95,3.94,3.64,3.49,5.74,6,6.55,6.41,7.41,7.32,7.24,8.29,9.48,9.87,9.99,12.9,14.4,15.3,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,24.6,,33.5,,,,,,,43.6,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,97.2,98.1,97,96.6,98.1,101,103,103,102,99.5,98.3,98.1,98.9,102,100,97.7,99.8,101,98,
Oman,,,,,0.133,,0.319,,0.733,1.88,,,,9.61,11.8,14.1,17.3,22.2,22.9,29.2,30.3,,49.1,,58.9,63.5,67.3,63.3,,,78,83.1,83.5,82,,,,,,99.6,,97.4,94.1,94.1,98.8,102,101,99.3,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,28.4,,,35.7,36.7,36.3,36.7,39.9,42.4,45.5,47,49,49.1,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.6,69.9,73,74.5,77.8,85.8,,90.7,94.1,90.8,97,87.7,90.2,84.9,84.1,82,82.1,85.5,84.5,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,50.8,69.3,69.9,69.8,72.3,73.9,75.1,78,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,,,,,,,,56.8,,,,55.9,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,72.8,70.6,71.9,90.4,,83.6,83.2,71.6,73.2,75,77.3,,,,,,
Peru,24.9,,,,,,,39,38.7,48,49.8,51.2,,,,,,,,,,,,,,66.8,,,,,77.2,79.9,83.2,,82.5,82.5,87.1,,87.6,89.9,90.2,89,81.7,89.4,87.2,87.3,87.3,88,90.9
